athlete_id,full_name,gender,age,date_of_birth,sport,federation,personal_coach,height_cm,weight_kg,body_fat_percent,muscle_mass_percent,vo2_max_ml_kg_min,heart_rate_peak_bpm,resting_heart_rate_bpm,training_experience_years,reserve_level,enrollment_date,status,rating_position
ROWINGM001,Спортсмен rowing M 1,М,16,2009-09-26,Гребля,Федерация гребного спорта России,Алексей Морозов,183.1,78.2,21.7,41.4,57.5,202,63,2,Основной пул,2025-06-16,Активен,5
ROWINGM002,Спортсмен rowing M 2,М,15,2010-10-01,Гребля,Федерация гребного спорта России,Алексей Морозов,187.4,71.9,10.8,43.4,48.7,186,57,7,Расширенный пул,2024-12-21,В отпуске,2
ROWINGM003,Спортсмен rowing M 3,М,15,2010-10-06,Гребля,Федерация гребного спорта России,Иван Сергеев,186.0,69.3,5.6,48.6,57.5,195,52,3,Расширенный пул,2025-02-03,Активен,18
ROWINGM004,Спортсмен rowing M 4,М,15,2009-12-25,Гребля,Федерация гребного спорта России,Иван Сергеев,184.7,68.0,15.4,39.8,57.2,192,69,7,Основной пул,2025-06-29,В отпуске,19
ROWINGM005,Спортсмен rowing M 5,М,15,2010-11-19,Гребля,Федерация гребного спорта России,Петр Новиков,177.4,79.2,6.7,43.2,48.4,188,60,8,Расширенный пул,2025-03-17,Активен,9
ROWINGM006,Спортсмен rowing M 6,М,16,2009-08-04,Гребля,Федерация гребного спорта России,Иван Сергеев,185.1,73.9,11.7,36.1,55.0,192,65,8,Основной пул,2025-08-28,Активен,13
ROWINGM007,Спортсмен rowing M 7,М,16,2009-05-23,Гребля,Федерация гребного спорта России,Иван Сергеев,173.0,76.4,11.3,39.5,61.9,199,64,8,Основной пул,2024-12-14,Активен,2
ROWINGM008,Спортсмен rowing M 8,М,15,2010-04-01,Гребля,Федерация гребного спорта России,Алексей Морозов,182.1,76.4,18.7,40.3,57.8,189,54,6,Расширенный пул,2025-04-09,Активен,18
ROWINGF001,Спортсмен rowing F 1,Ж,17,2008-01-06,Гребля,Федерация гребного спорта России,Ольга Васильева,182.5,65.6,31.4,38.1,44.4,191,67,6,Основной пул,2024-12-28,Активен,3
ROWINGF002,Спортсмен rowing F 2,Ж,16,2008-12-19,Гребля,Федерация гребного спорта России,Наталья Громова,184.0,48.4,30.3,37.0,46.5,188,50,3,Основной пул,2025-09-09,Активен,4
ROWINGF003,Спортсмен rowing F 3,Ж,16,2009-07-03,Гребля,Федерация гребного спорта России,Ольга Васильева,175.0,76.1,21.8,33.7,45.3,197,61,5,Основной пул,2025-07-28,Активен,12
ROWINGF004,Спортсмен rowing F 4,Ж,16,2008-12-14,Гребля,Федерация гребного спорта России,Наталья Громова,176.2,66.8,31.2,34.1,46.3,183,52,4,Расширенный пул,2024-12-12,Активен,18
ROWINGF005,Спортсмен rowing F 5,Ж,16,2009-07-20,Гребля,Федерация гребного спорта России,Анна Петрова,174.3,66.2,23.6,31.5,45.8,184,55,3,Основной пул,2025-04-08,Активен,18
ROWINGF006,Спортсмен rowing F 6,Ж,16,2008-12-07,Гребля,Федерация гребного спорта России,Наталья Громова,175.4,78.9,26.2,37.7,47.9,168,59,4,Расширенный пул,2025-06-24,Активен,11
